iter	Passed	Remaining
1111	17029	44228
1112	17046	44217
1113	17063	44205
1114	17079	44193
1115	17095	44179
1116	17111	44163
1117	17126	44149
1118	17141	44133
1119	17166	44142
1120	17181	44126
1121	17196	44109
1122	17210	44092
1123	17224	44073
1124	17239	44057
1125	17254	44039
1126	17268	44021
1127	17282	44003
1128	17296	43984
1129	17311	43968
1130	17328	43957
1131	17343	43941
1132	17358	43924
1133	17373	43908
1134	17387	43889
1135	17402	43873
1136	17416	43856
1137	17431	43838
1138	17449	43830
1139	17464	43813
1140	17478	43795
1141	17492	43776
1142	17507	43760
1143	17521	43741
1144	17535	43724
1145	17550	43708
1146	17565	43691
1147	17579	43672
1148	17593	43654
1149	17608	43637
1150	17622	43619
1151	17636	43600
1152	17649	43581
1153	17663	43560
1154	17677	43542
1155	17695	43535
1156	17709	43517
1157	17726	43505
1158	17741	43489
1159	17755	43470
1160	17771	43457
1161	17787	43443
1162	17803	43428
1163	17817	43412
1164	17834	43398
1165	17849	43384
1166	17866	43372
1167	17884	43364
1168	17900	43350
1169	17917	43338
1170	17933	43324
1171	17948	43308
1172	17961	43288
1173	17976	43271
1174	17990	43253
1175	18005	43237
1176	18020	43220
1177	18034	43202
1178	18047	43183
1179	18062	43166
1180	18076	43148
1181	18091	43130
1182	18105	43113
1183	18120	43096
1184	18134	43078
1185	18148	43059
1186	18162	43042
1187	18176	43023
1188	18190	43006
1189	18208	42996
1190	18235	43008
1191	18249	42990
1192	18264	42973
1193	18277	42954
1194	18292	42937
1195	18309	42925
1196	18325	42911
1197	18342	42900
1198	18357	42886
1199	18375	42877
1200	18394	42870
1201	18411	42858
1202	18427	42843
1203	18445	42836
1204	18461	42821
1205	18478	42809
1206	18493	42793
1207	18509	42779
1208	18524	42764
1209	18538	42745
1210	18554	42731
1211	18569	42716
1212	18584	42699
1213	18599	42682
1214	18613	42665
1215	18628	42649
1216	18642	42631
1217	18657	42614
1218	18671	42596
1219	18686	42580
1220	18701	42565
1221	18715	42547
1222	18733	42536
1223	18748	42521
1224	18763	42505
1225	18778	42489
1226	18793	42473
1227	18808	42457
1228	18823	42441
1229	18839	42426
1230	18856	42414
1231	18874	42405
1232	18889	42390
1233	18905	42375
1234	18922	42365
1235	18938	42350
1236	18953	42334
1237	18967	42316
1238	18982	42300
1239	18997	42283
1240	19011	42267
1241	19027	42252
1242	19042	42237
1243	19057	42221
1244	19072	42204
1245	19088	42190
1246	19102	42173
1247	19117	42157
1248	19132	42141
1249	19147	42124
1250	19162	42108
1251	19176	42090
1252	19191	42073
1253	19205	42056
1254	19220	42039
1255	19235	42024
1256	19249	42006
1257	19265	41992
1258	19278	41972
1259	19292	41954
1260	19307	41938
1261	19322	41921
1262	19337	41905
1263	19351	41887
1264	19366	41871
1265	19381	41856
1266	19398	41842
1267	19415	41831
1268	19431	41819
1269	19446	41803
1270	19461	41787
1271	19476	41769
1272	19491	41754
1273	19507	41739
1274	19526	41733
1275	19542	41719
1276	19557	41702
1277	19571	41685
1278	19586	41669
1279	19601	41652
1280	19616	41636
1281	19631	41620
1282	19645	41603
1283	19661	41588
1284	19675	41571
1285	19690	41555
1286	19705	41539
1287	19719	41521
1288	19734	41504
1289	19748	41487
1290	19763	41471
1291	19778	41454
1292	19792	41437
1293	19807	41421
1294	19822	41404
1295	19837	41389
1296	19851	41371
1297	19866	41355
1298	19880	41336
1299	19895	41322
1300	19910	41306
1301	19925	41290
1302	19940	41273
1303	19955	41257
1304	19970	41240
1305	19984	41224
1306	19998	41206
1307	20014	41191
1308	20028	41173
1309	20043	41158
1310	20059	41144
1311	20074	41128
1312	20090	41114
1313	20109	41106
1314	20130	41103
1315	20145	41087
1316	20160	41070
1317	20174	41053
1318	20189	41038
1319	20209	41030
1320	20224	41015
1321	20241	41003
1322	20258	40991
1323	20274	40977
1324	20288	40960
1325	20304	40945
1326	20320	40931
1327	20336	40917
1328	20350	40900
1329	20366	40886
1330	20385	40878
1331	20400	40862
1332	20415	40845
1333	20429	40828
1334	20444	40811
1335	20460	40799
1336	20476	40784
1337	20490	40766
1338	20505	40749
1339	20525	40744
1340	20540	40729
1341	20554	40711
1342	20570	40696
1343	20585	40681
1344	20601	40666
1345	20617	40651
1346	20631	40635
1347	20646	40618
1348	20660	40601
1349	20675	40585
1350	20690	40569
1351	20705	40554
1352	20721	40539
1353	20737	40525
1354	20751	40508
1355	20766	40491
1356	20780	40474
1357	20797	40460
1358	20811	40443
1359	20827	40429
1360	20842	40413
1361	20857	40397
1362	20871	40380
1363	20886	40363
1364	20900	40347
1365	20916	40332
1366	20931	40315
1367	20946	40299
1368	20960	40283
1369	20976	40268
1370	20991	40252
1371	21006	40236
1372	21021	40220
1373	21035	40203
1374	21050	40187
1375	21064	40169
1376	21078	40151
1377	21092	40133
1378	21106	40116
1379	21121	40099
1380	21136	40083
1381	21150	40066
1382	21163	40047
1383	21178	40030
1384	21194	40016
1385	21211	40004
1386	21227	39991
1387	21242	39974
1388	21258	39960
1389	21273	39945
1390	21289	39931
1391	21304	39915
1392	21319	39900
1393	21335	39884
1394	21352	39874
1395	21367	39857
1396	21382	39842
1397	21397	39825
1398	21411	39808
1399	21427	39793
1400	21441	39776
1401	21456	39760
1402	21471	39743
1403	21484	39724
1404	21498	39707
1405	21513	39691
1406	21527	39674
1407	21542	39657
1408	21556	39640
1409	21570	39622
1410	21585	39607
1411	21600	39590
1412	21614	39573
1413	21630	39558
1414	21646	39544
1415	21661	39529
1416	21676	39513
1417	21690	39495
1418	21705	39479
1419	21720	39463
1420	21735	39448
1421	21752	39436
1422	21768	39421
1423	21783	39405
1424	21799	39391
1425	21817	39382
1426	21832	39366
1427	21845	39346
1428	21859	39329
1429	21875	39314
1430	21891	39299
1431	21906	39284
1432	21922	39270
1433	21937	39255
1434	21952	39238
1435	21966	39222
1436	21981	39205
1437	21996	39190
1438	22011	39174
1439	22026	39158
1440	22041	39141
1441	22055	39125
1442	22070	39108
1443	22084	39091
1444	22100	39076
1445	22115	39060
1446	22129	39043
1447	22143	39026
1448	22158	39010
1449	22172	38992
1450	22187	38976
1451	22203	38962
1452	22218	38947
1453	22233	38932
1454	22248	38915
1455	22263	38899
1456	22279	38885
1457	22295	38871
1458	22311	38857
1459	22327	38843
1460	22342	38828
1461	22357	38812
1462	22372	38795
1463	22386	38779
1464	22401	38762
1465	22416	38746
1466	22431	38730
1467	22446	38715
1468	22461	38699
1469	22477	38685
1470	22493	38670
1471	22507	38654
1472	22521	38637
1473	22535	38619
1474	22550	38602
1475	22565	38587
1476	22581	38572
1477	22596	38558
1478	22611	38541
1479	22625	38525
1480	22640	38507
1481	22654	38490
1482	22668	38474
1483	22683	38457
1484	22698	38442
1485	22713	38426
1486	22727	38408
1487	22741	38391
1488	22755	38374
1489	22770	38358
1490	22785	38342
1491	22800	38326
1492	22815	38311
1493	22830	38294
1494	22844	38277
1495	22858	38260
1496	22872	38242
1497	22887	38226
1498	22902	38211
1499	22918	38198
1500	22933	38181
1501	22948	38165
1502	22963	38150
1503	22979	38136
1504	22994	38120
1505	23009	38104
1506	23024	38088
1507	23040	38074
1508	23054	38056
1509	23070	38043
1510	23086	38029
1511	23101	38014
1512	23116	37997
1513	23130	37981
1514	23146	37965
1515	23160	37949
1516	23175	37932
1517	23190	37916
1518	23206	37903
1519	23221	37888
1520	23237	37873
1521	23252	37858
1522	23267	37842
1523	23284	37829
1524	23299	37813
1525	23315	37799
1526	23333	37789
1527	23347	37772
1528	23362	37756
1529	23386	37754
1530	23404	37743
1531	23417	37725
1532	23432	37708
1533	23446	37691
1534	23462	37677
1535	23479	37665
1536	23495	37650
1537	23510	37635
1538	23524	37617
1539	23539	37602
1540	23554	37586
1541	23568	37568
1542	23584	37554
1543	23599	37539
1544	23615	37524
1545	23629	37508
1546	23644	37492
1547	23660	37477
1548	23676	37464
1549	23691	37447
1550	23705	37430
1551	23723	37420
1552	23739	37404
1553	23753	37388
1554	23768	37372
1555	23783	37356
1556	23798	37341
1557	23814	37326
1558	23831	37313
1559	23846	37298
1560	23863	37285
1561	23877	37268
1562	23892	37253
1563	23907	37237
1564	23922	37221
1565	23938	37206
1566	23952	37190
1567	23967	37174
1568	23982	37158
1569	23999	37145
1570	24013	37129
1571	24029	37113
1572	24044	37097
1573	24058	37081
1574	24074	37066
